metaphone,word,translation
ADERR,adherir,adhere
ADKRR,adquirir,acquire
ADKSZN,adquisición,acquisition
ADLSZN,adolescencia,adolescence
ADLT,adulto,adult
ADMNST,administración,administration
ADMNST,administrador,administrator
ADMNST,administrativo,administrative
ADMRR,admirar,admire
ADMRVL,admirable,admirable
ADMRZN,admiración,admiration
ADMTR,admitir,admit
ADNZ,audiencia,audience
ADPTR,adaptar,adapt
ADPTR,adoptar,adopt
ADPTZN,adaptación,adaptation
ADPZN,adopción,adoption
ADRN,adorno,ornament
ADRR,adorar,adore
ADVRSR,adversario,adversary
ADZNL,adicional,additional
AFKT,afecto,affection
AFKTR,afectar,affect
AFRKN,africano,African
AFRMR,afirmar,affirm
AFRTND,afortunadamente,fortunately
AGRGR,agregar,add
AGRKL,agrícola,agricultural
AGRKLT,agricultura,agriculture
AGRPR,agrupar,group
AGRR,agrario,agrarian
AGRSN,agresión,aggression
AGRSV,agresivo,aggressive
AGST,agosto,August
AJND,agenda,agenda
AJNT,agente,agent
AJNZ,agencia,agency
AJST,ajuste,adjustment
AJSTR,ajustar,adjust
AJTR,agitar,shake
AKDM,academia,academy
AKDMK,académico,academic
AKLRR,aclarar,clarify
AKMDR,acomodar,accommodate
AKMLR,acumular,accumulate
AKMLZN,acumulación,accumulation
AKMPNY,acompañar,accompany
AKRZR,acariciar,caress
AKSD,acusado,accused
AKSR,acusar,accuse
AKSTMV,acostumbrar,accustom
AKSZN,acusación,accusation
AKT,acto,act
AKTR,actor,actor
AKTR,actuar,act
AKTRZ,actriz,actress
AKTTD,actitud,attitude
AKTV,activo,active
AKTVDD,actividad,activity
AKTVR,activar,activate
ALD,aliado,ally
ALDR,aludir,allude
ALKOL,alcohol,alcohol
ALMN,alemán,German
ALNZ,alianza,alliance
ALRM,alarma,alarm
ALRMR,alarmar,alarm
ALSN,alusión,allusion
ALTR,altar,altar
ALTRNR,alternar,alternate
ALTRNT,alternativa,alternative
ALTRNT,alternativo,alternative
ALTRR,alterar,alter
ALTRZN,alteración,alteration
AMNT,amante,lover
AMNZR,amenazar,threaten
AMRKN,americano,American
AMVZN,ambición,ambition
AMVZS,ambicioso,ambitious
ANGL,ángulo,angle
ANGST,angustia,anguish
ANJL,ángel,angel
ANL,anual,annual
ANLSS,análisis,analysis
ANLST,analista,analyst
ANLZR,analizar,analyze
ANML,animal,animal
ANNM,anónimo,anonymous
ANNZ,anuncio,announcement
ANNZR,anunciar,announce
ANSDD,ansiedad,anxiety
ANTN,antena,antenna
ANTUDD,antigüedad,antiquity
ANTZDN,antecedente,antecedent
ANVRSR,aniversario,anniversary
APLDR,aplaudir,applaud
APLKR,aplicar,apply
APLKZN,aplicación,application
APLR,apelar,appeal
APLS,aplauso,applause
APRNTM,aparentemente,apparently
APRNZ,apariencia,appearance
APRPD,apropiado,appropriate
APRTMN,apartamento,apartment
APRTZN,aportación,contribution
APRVR,aprobar,approve
APRVZN,aprobación,approval
APRXMD,aproximadamente,approximately
APRXMR,aproximar,approach
APRZN,aparición,appearance
APRZR,aparecer,appear
APRZR,apreciar,appreciate
APSTL,apóstol,apostle
APTT,apetito,appetite
AR,aire,air
AR,aéreo,aerial
AR,área,area
ARGMNT,argumento,argument
ARJNTN,argentino,Argentine
ARK,arco,arch
ARKLJK,arqueológico,archeological
ARKTKT,arquitecto,architect
ARKTKT,arquitectura,architecture
ARM,aroma,aroma
ARMD,armado,armed
ARMN,armonía,harmony
ARPRT,aeropuerto,airport
ARRGL,arreglo,arrangement
ART,arte,art
ARTFZL,artificial,artificial
ARTKL,artículo,article
ARTKLZ,articulación,joint
ARTSN,artesano,artisan
ARTST,artista,artist
ARTSTK,artístico,artistic
ARV,árabe,Arab
ARVTR,árbitro,referee
ARXV,archivo,file
ASGNTR,asignatura,subject
ASGRR,asegurar,assure
ASLMNT,aislamiento,isolation
ASLR,aislar,isolate
ASLT,asalto,assault
ASLTR,asaltar,assault
ASMR,asumir,assume
ASMVL,asamblea,assembly
ASNZ,ausencia,absence
ASPKT,aspecto,aspect
ASPRR,aspirar,aspire
ASPRZN,aspiración,aspiration
ASTK,asiático,Asian
ASZNDR,ascender,ascend
ASZR,asociar,associate
ASZZN,asociación,association
ATK,ataque,attack
ATKR,atacar,attack
ATLT,atleta,athlete
ATMK,atómico,atomic
ATMSFR,atmósfera,atmosphere
ATMVL,automóvil,automobile
ATNM,autonomía,autonomy
ATNM,autónomo,autonomous
ATNTK,auténtico,authentic
ATNZN,atención,attention
ATR,autor,author
ATRDD,autoridad,authority
ATRKTV,atractivo,attractive
ATRMNT,atormentar,torment
ATRR,atraer,attract
ATRVR,atribuir,attribute
ATRVT,atributo,attribute
ATRXN,atracción,attraction
ATRZR,autorizar,authorize
ATRZZN,autorización,authorization
AVN,avión,airplane
AVND,avenida,avenue
AVNDN,abandono,abandonment
AVNDND,abandonado,abandoned
AVNDNR,abandonar,abandon
AVNDNT,abundante,abundant
AVNDNZ,abundancia,abundance
AVNDR,abundar,abound
AVNTR,aventura,adventure
AVNZ,avance,advance
AVNZR,avanzar,advance
AVRDR,abordar,board
AVRL,abril,April
AVRT,aborto,abortion
AVS,abuso,abuse
AVSLT,absoluto,absolute
AVSLTM,absolutamente,absolutely
AVSM,abismo,abyss
AVSR,abusar,abuse
AVSRD,absurdo,absurd
AVSRVR,absorber,absorb
AVSTRK,abstracto,abstract
AVT,hábito,habit
AVTL,habitual,habitual
AVTNT,habitante,inhabitant
AVTR,habitar,inhabit
AXDNT,accidente,accident
AXDR,acceder,access
AXL,auxilio,aid
AXLR,auxiliar,assistant
AXN,acción,action
AXS,acceso,access
AXSVL,accesible,accessible
AZD,ácido,acid
AZLRR,acelerar,accelerate
AZNT,acento,accent
AZNTR,acentuar,accentuate
AZPTR,aceptar,accept
AZPTZN,aceptación,acceptance
D,día,day
DD,deuda,debt
DDKR,dedicar,dedicate
DDZR,deducir,deduce
DFKLTD,dificultad,difficulty
DFKT,defecto,defect
DFNDR,defender,defend
DFNR,definir,define
DFNSR,defensor,defender
DFNTV,definitivo,definitive
DFNTVM,definitivamente,definitely
DFNZN,definición,definition
DFRNZ,diferencia,difference
DFRNZR,diferenciar,differentiate
DFRR,diferir,differ
DFSN,difusión,diffusion
DFZL,difícil,difficult
DFZT,déficit,deficit
DGNDD,dignidad,dignity
DGNSTK,diagnóstico,diagnosis
DJTL,digital,digital
DK,duque,duke
DKD,década,decade
DKDNZ,decadencia,decadence
DKLRZN,declaración,declaration
DKMNT,documento,document
DKMNTL,documental,documentary
DKMNTZ,documentación,documentation
DKRR,decorar,decorate
DKRT,decreto,decree
DKRZN,decoración,decoration
DKTDR,dictador,dictator
DKTDR,dictadura,dictatorship
DKTR,doctor,doctor
DKTRN,doctrina,doctrine
DL,duelo,duel
DLG,diálogo,dialogue
DLGD,delegado,delegate
DLGZN,delegación,delegation
DLNKNT,delincuente,delinquent
DLR,diluir,dilute
DLR,dólar,dollar
DLZS,delicioso,delicious
DMKRTK,democrático,democratic
DMKRZ,democracia,democracy
DMN,demonio,demon
DMN,dominio,domain
DMND,demanda,demand
DMNR,dominar,dominate
DMNSN,dimensión,dimension
DMSTRR,demostrar,demonstrate
DMSTRZ,demostración,demonstration
DMTR,diámetro,diameter
DMZL,domicilio,domicile
DNMNR,denominar,name
DNR,donar,donate
DNSDD,densidad,density
DNST,dinastía,dynasty
DNZ,danza,dance
DNZN,donación,donation
DPLMTK,diplomático,diplomat
DPNDNZ,dependencia,dependence
DPNDR,depender,depend
DPRSN,depresión,depression
DPRTMN,departamento,department
DPST,depósito,deposit
DPSTR,depositar,deposit
DPTD,diputado,deputy
DR,diario,daily
DRG,droga,drug
DRJNT,dirigente,leader
DRJR,dirigir,direct
DRKT,directo,direct
DRKTR,director,director
DRM,drama,drama
DRMTK,dramático,dramatic
DRMTR,dormitorio,bedroom
DRNT,durante,during
DRRT,derrota,defeat
DRVR,derivar,derive
DRXN,dirección,direction
DRZN,duración,duration
DS,diosa,goddess
DSGLDD,desigualdad,inequality
DSGNR,designar,designate
DSK,disco,disc
DSKRGR,descargar,download
DSKRMN,discriminación,discrimination
DSKRPZ,descripción,description
DSKRVR,describir,describe
DSKSN,discusión,discussion
DSKTR,discutir,discuss
DSKVRR,descubrir,discover
DSLVR,disolver,dissolve
DSMNR,disminuir,diminish
DSMPL,desempleo,unemployment
DSNY,diseño,design
DSNYR,diseñar,design
DSPLGR,desplegar,deploy
DSPLZM,desplazamiento,displacement
DSPRSR,dispersar,disperse
DSPRZN,desaparición,disappearance
DSPRZR,desaparecer,disappear
DSPSZN,disposición,disposition
DSPT,disputa,dispute
DSPTR,disputar,dispute
DSRDN,desorden,disorder
DSRT,desierto,desert
DSS,dosis,dose
DSSTR,desastre,disaster
DSTN,destino,destiny
DSTNGR,distinguir,distinguish
DSTNZ,distancia,distance
DSTNZN,distinción,distinction
DSTRR,destruir,destroy
DSTRT,distrito,district
DSTRVR,distribuir,distribute
DSTRVZ,distribución,distribution
DSTRXN,destrucción,destruction
DSVR,desviar,divert
DSZFRR,descifrar,decipher
DSZNDN,descendiente,descendant
DSZNDR,descender,descend
DSZPL,discípulo,disciple
DSZPLN,disciplina,discipline
DT,dieta,diet
DTKTR,detectar,detect
DTNZN,detención,detention
DTR,datar,date
DTRMND,determinado,determined
DTRMNR,determinar,determine
DTRMNZ,determinación,determination
DTRRR,deteriorar,deteriorate
DTY,detalle,detail
DVDR,dividir,divide
DVL,diablo,devil
DVL,doble,double
DVLTR,debilitar,weaken
DVN,divino,divine
DVRR,devorar,devour
DVRS,diverso,diverse
DVRZ,divorcio,divorce
DVSN,división,division
DVT,debate,debate
DVTR,debatir,debate
DVTS,diabetes,diabetes
DXNR,diccionario,dictionary
DZDR,decidir,decide
DZM,décimo,tenth
DZMVR,diciembre,December
DZN,docena,dozen
DZSN,decisión,decision
DZSV,decisivo,decisive
EDFZ,edificio,building
EDKR,educar,educate
EDKZN,educación,education
EDTR,editar,edit
EDTR,editor,editor
EDZN,edición,edition
EFKT,efecto,effect
EFKTV,efectivo,effective
EFKTVM,efectivamente,effectively
EFKZ,eficacia,efficacy
EFKZ,eficaz,efficient
EJ,eje,axis
EJKTR,ejecutar,execute
EJKZN,ejecución,execution
EJMPL,ejemplo,example
EJMPLR,ejemplar,exemplary
EJRZR,ejercer,exercise
EJRZZ,ejercicio,exercise
EK,eco,echo
EKLVR,equilibrio,balance
EKNMK,económico,economic
EKNMST,economista,economist
EKSSTM,ecosistema,ecosystem
EKTR,hectárea,hectare
EKVLNT,equivalente,equivalent
EKZN,ecuación,equation
ELGNT,elegante,elegant
ELKPTR,helicóptero,helicopter
ELKTRK,eléctrico,electric
ELKTRN,electrón,electron
ELKTRN,electrónico,electronic
ELKTRZ,electricidad,electricity
ELMNR,eliminar,eliminate
ELMNT,elemento,element
ELMNZN,eliminación,removal
ELVR,elevar,elevate
ELVRR,elaborar,elaborate
ELVRZN,elaboración,elaboration
ELXN,elección,election
EMGRR,emigrar,emigrate
EMPL,empleo,job
EMPLD,empleado,employee
EMPLR,emplear,employ
EMPRDR,emperador,emperor
EMSN,emisión,emission
EMTR,emitir,emit
EMVJD,embajada,embassy
EMVJDR,embajador,ambassador
EMVRG,embargo,embargo
EMVRKR,embarcar,board
EMZN,emoción,emotion
EMZNL,emocional,emotional
ENFTZR,enfatizar,emphasize
ENKNTR,encuentro,encounter
ENLZ,enlace,link
ENMG,enemigo,enemy
ENRJ,energía,energy
ENRKZR,enriquecer,enrich
ENRM,enorme,enormous
ENSY,ensayo,essay
ENSYR,ensayar,rehearse
ENTDD,entidad,entity
ENTNR,entonar,intone
ENTRD,entrada,entrance
ENTRR,entrar,enter
ENTRTN,entretener,entertain
ENTRTN,entretenimiento,entertainment
ENTRVS,entrevista,interview
ENTSSM,entusiasmo,enthusiasm
ENVD,envidia,envy
ENVDR,envidiar,envy
EPSD,episodio,episode
ER,euro,euro
ER,héroe,hero
ERDR,heredar,inherit
ERDR,heredero,heir
ERNZ,herencia,inheritance
ERP,europeo,European
ERR,herir,injure
ERRR,error,error
ESFR,esfera,sphere
ESKL,escala,scale
ESKLR,escolar,school
ESKLTR,escultura,sculpture
ESKLV,esclavo,slave
ESKLVT,esclavitud,slavery
ESKM,esquema,scheme
ESKNDL,escándalo,scandal
ESKPR,escapar,escape
ESNZ,esencia,essence
ESPKLZ,especulación,speculation
ESPKTD,espectador,spectator
ESPKTR,espectro,spectrum
ESPLND,esplendor,splendor
ESPNYL,español,Spanish
ESPRT,espíritu,spirit
ESPRTL,espiritual,spiritual
ESPZ,espacio,space
ESPZ,especie,species
ESPZFK,especificar,specify
ESPZFK,específico,specific
ESPZL,especial,special
ESPZLD,especialidad,specialty
ESPZLM,especialmente,especially
ESPZLS,especialista,specialist
ESTD,estadio,stadium
ESTD,estado,state
ESTD,estudio,study
ESTDNT,estudiante,student
ESTDR,estudiar,study
ESTDST,estadística,statistic
ESTDST,estadístico,statistical
ESTL,estilo,style
ESTMG,estómago,stomach
ESTMLR,estimular,stimulate
ESTMR,estimar,estimate
ESTMZN,estimación,estimation
ESTPD,estúpido,stupid
ESTPDZ,estupidez,stupidity
ESTRKT,estricto,strict
ESTRTJ,estrategia,strategy
ESTRTJ,estratégico,strategic
ESTT,estatua,statue
ESTTL,estatal,state
ESTTR,estatura,stature
ESTVL,estable,stable
ESTVLD,estabilidad,stability
ESTVLZ,establecer,establish
ESTZN,estación,station
ESZN,escena,scene
ESZNR,escenario,stage
ETK,ética,ethics
ETK,ético,ethical
ETKT,etiqueta,label
ETRN,eterno,eternal
ETRNDD,eternidad,eternity
EVDNT,evidente,evident
EVDNZ,evidencia,evidence
EVKR,evocar,evoke
EVLZN,evaluación,evaluation
EVLZN,evolución,evolution
EVLZNR,evolucionar,evolve
EVNJL,evangelio,gospel
EXIVR,exhibir,exhibit
EXIVZN,exhibición,exhibition
EXJRR,exagerar,exaggerate
EXKLR,excluir,exclude
EXKRSN,excursión,excursion
EXKS,excusa,excuse
EXKT,exacto,exact
EXKTMN,exactamente,exactly
EXMN,examen,exam
EXMNR,examinar,examine
EXPDZN,expedición,expedition
EXPKTT,expectativa,expectation
EXPLKR,explicar,explain
EXPLKZ,explicación,explanation
EXPLRR,explorar,explore
EXPLSN,explosión,explosion
EXPLSR,expulsar,expel
EXPLTR,explotar,exploit
EXPLTZ,explotación,exploitation
EXPNR,exponer,expose
EXPRMN,experimentar,experience
EXPRMN,experimento,experiment
EXPRNZ,experiencia,experience
EXPRSN,expresión,expression
EXPRSR,expresar,express
EXPRT,experto,expert
EXPRTR,exportar,export
EXPRTZ,exportación,export
EXPSZN,exposición,exposition
EXSTNT,existente,existing
EXSTNZ,existencia,existence
EXSTR,existir,exist
EXTNDR,extender,extend
EXTNGR,extinguir,extinguish
EXTNS,extenso,extensive
EXTNSN,extensión,extension
EXTNZN,extinción,extinction
EXTRM,extremo,extreme
EXTRN,externo,external
EXTRR,exterior,exterior
EXTRR,extraer,extract
EXTRRD,extraordinario,extraordinary
EXZDR,exceder,exceed
EXZLNT,excelente,excellent
EXZLNZ,excelencia,excellence
EXZPT,excepto,except
EXZPZN,excepcional,exceptional
EXZPZN,excepción,exception
EXZSV,excesivo,excessive
FDLDD,fidelidad,fidelity
FDRL,federal,federal
FDRZN,federación,federation
FGR,figura,figure
FKLTD,facultad,faculty
FKTR,factor,factor
FKTR,factura,invoice
FL,fiel,faithful
FLJ,flujo,flow
FLR,flor,flower
FLR,fluir,flow
FLRZR,florecer,flourish
FLS,falso,false
FLSF,filosofía,philosophy
FLSF,filósofo,philosopher
FLSFK,filosófico,philosophical
FLTR,filtro,filter
FLTR,flotar,float
FLTRR,filtrar,filter
FLXVL,flexible,flexible
FM,fama,fame
FML,familia,family
FMNN,femenino,feminine
FMS,famoso,famous
FN,fauna,fauna
FNDDR,fundador,founder
FNDMNT,fundamental,fundamental
FNDMNT,fundamento,foundation
FNDR,fundar,found
FNDZN,fundación,foundation
FNL,final,final
FNLMNT,finalmente,finally
FNMN,fenómeno,phenomenon
FNNZR,financiero,financial
FNTS,fantasía,fantasy
FNTSTK,fantástico,fantastic
FNZN,función,function
FNZNR,funcionario,official
FR,feria,fair
FR,foro,forum
FR,furia,fury
FRD,fraude,fraud
FRGMNT,fragmento,fragment
FRJL,frágil,fragile
FRKNT,frecuente,frequent
FRKNTM,frecuentemente,frequently
FRKNTR,frecuentar,frequent
FRKNZ,frecuencia,frequency
FRM,firme,firm
FRM,forma,form
FRMDVL,formidable,formidable
FRMK,fármaco,drug
FRML,formal,formal
FRML,fórmula,formula
FRMLR,formular,formulate
FRMR,firmar,sign
FRMR,formar,form
FRMT,formato,format
FRMZ,farmacia,pharmacy
FRMZN,formación,training
FRNK,franco,frank
FRNZS,francés,French
FRRKRR,ferrocarril,railway
FRS,frase,phrase
FRS,furioso,furious
FRSTRR,frustrar,frustrate
FRSTRZ,frustración,frustration
FRT,fruta,fruit
FRT,fruto,fruit
FRTLZ,fortaleza,fortress
FRTN,fortuna,fortune
FRXN,fracción,fraction
FRZR,forzar,force
FS,fase,phase
FSK,físico,physical
FSKL,fiscal,fiscal
FSKMNT,físicamente,physically
FSN,fusión,fusion
FSTVL,festival,festival
FSZNR,fascinar,fascinate
FT,foto,photo
FTG,fatiga,fatigue
FTGRF,fotografía,photograph
FTGRF,fotógrafo,photographer
FTGRFK,fotográfico,photographic
FTL,fatal,fatal
FTR,futuro,future
FVR,favor,favor
FVR,fibra,fiber
FVRK,fábrica,factory
FVRKNT,fabricante,manufacturer
FVRKR,fabricar,manufacture
FVRKZN,fabricación,manufacturing
FVRR,febrero,February
FVRT,favorito,favorite
FVRZR,favorecer,favor
FXD,fachada,facade
FXN,facción,faction
FXN,ficción,fiction
FZLTR,facilitar,facilitate
G,guía,guide
GL,gol,goal
GLF,golfo,gulf
GLR,galería,gallery
GLR,gloria,glory
GLVL,global,global
GLX,galaxia,galaxy
GN,guión,script
GNT,guante,glove
GR,guiar,guide
GRD,grado,degree
GRD,guardia,guard
GRDR,graduar,graduate
GRFK,gráfico,graphic
GRG,griego,Greek
GRNT,garantía,guarantee
GRNTZR,garantizar,guarantee
GRP,grupo,group
GRRY,guerrilla,guerrilla
GRS,gris,gray
GRVDD,gravedad,gravity
GRVZN,grabación,recording
GRZ,gracia,grace
GS,gas,gas
GSLN,gasolina,gasoline
GTRR,guitarra,guitar
GVNT,gabinete,cabinet
GVRN,gobierno,government
GVRNDR,gobernador,governor
GVRNR,gobernar,govern
ID,idea,idea
IDL,ideal,ideal
IDL,ídolo,idol
IDLJ,ideología,ideology
IDLJK,ideológico,ideological
IDNTDD,identidad,identity
IDNTFK,identificación,identification
IDNTFK,identificar,identify
IDRJN,hidrógeno,hydrogen
IDT,idiota,idiot
