word,metaphone,translation
estudiante,ESTDNT,student
estudiar,ESTDR,study
estadística,ESTDST,statistic
estadístico,ESTDST,statistical
estilo,ESTL,style
estómago,ESTMG,stomach
estimular,ESTMLR,stimulate
estimar,ESTMR,estimate
estimación,ESTMZN,estimation
estúpido,ESTPD,stupid
estupidez,ESTPDZ,stupidity
estupendo,ESTPND,great
estar,ESTR,be
estricto,ESTRKT,strict
estirar,ESTRR,stretch
estrategia,ESTRTJ,strategy
estratégico,ESTRTJ,strategic
estrecho,ESTRX,narrow
estrella,ESTRY,star
estrellar,ESTRYR,crash
estas,ESTS,these
estos,ESTS,these
estatua,ESTT,statue
estatal,ESTTL,state
estatura,ESTTR,stature
estable,ESTVL,stable
estabilidad,ESTVLD,stability
establecer,ESTVLZ,establish
estallar,ESTYR,burst
estación,ESTZN,station
escena,ESZN,scene
escenario,ESZNR,stage
ética,ETK,ethics
ético,ETK,ethical
etiqueta,ETKT,label
etapa,ETP,stage
eterno,ETRN,eternal
eternidad,ETRNDD,eternity
evidente,EVDNT,evident
evidencia,EVDNZ,evidence
evocar,EVKR,evoke
evaluación,EVLZN,evaluation
evolución,EVLZN,evolution
evolucionar,EVLZNR,evolve
evangelio,EVNJL,gospel
evitar,EVTR,avoid
hecho,EX,fact
exhibir,EXIVR,exhibit
exhibición,EXIVZN,exhibition
exigir,EXJR,demand
exagerar,EXJRR,exaggerate
excluir,EXKLR,exclude
excursión,EXKRSN,excursion
excusa,EXKS,excuse
exacto,EXKT,exact
exactamente,EXKTMN,exactly
examen,EXMN,exam
examinar,EXMNR,examine
expedición,EXPDZN,expedition
expectativa,EXPKTT,expectation
explicar,EXPLKR,explain
explicación,EXPLKZ,explanation
explorar,EXPLRR,explore
explosión,EXPLSN,explosion
expulsar,EXPLSR,expel
explotar,EXPLTR,exploit
explotación,EXPLTZ,exploitation
exponer,EXPNR,expose
experimentar,EXPRMN,experience
experimento,EXPRMN,experiment
experiencia,EXPRNZ,experience
expresión,EXPRSN,expression
expresar,EXPRSR,express
experto,EXPRT,expert
exportar,EXPRTR,export
exportación,EXPRTZ,export
exposición,EXPSZN,exposition
echar,EXR,throw
existente,EXSTNT,existing
existencia,EXSTNZ,existence
existir,EXSTR,exist
extender,EXTNDR,extend
extinguir,EXTNGR,extinguish
extenso,EXTNS,extensive
extensión,EXTNSN,extension
extinción,EXTNZN,extinction
extremo,EXTRM,extreme
externo,EXTRN,external
extranjero,EXTRNJ,foreigner
extrañar,EXTRNY,miss
extraño,EXTRNY,strange
exterior,EXTRR,exterior
extraer,EXTRR,extract
extraordinario,EXTRRD,extraordinary
exceder,EXZDR,exceed
excelente,EXZLNT,excellent
excelencia,EXZLNZ,excellence
excepto,EXZPT,except
excepcional,EXZPZN,exceptional
excepción,EXZPZN,exception
excesivo,EXZSV,excessive
ella,EY,she
ello,EY,it
fe,F,faith
feo,F,ugly
fidelidad,FDLDD,fidelity
federal,FDRL,federal
federación,FDRZN,federation
fuego,FG,fire
fuga,FG,escape
figura,FGR,figure
fijo,FJ,fixed
fijar,FJR,fix
facultad,FKLTD,faculty
factor,FKTR,factor
factura,FKTR,invoice
fiel,FL,faithful
fila,FL,row
falda,FLD,skirt
flujo,FLJ,flow
flaco,FLK,thin
flor,FLR,flower
fluir,FLR,flow
florecer,FLRZR,flourish
falso,FLS,false
filosofía,FLSF,philosophy
filósofo,FLSF,philosopher
filosófico,FLSFK,philosophical
falta,FLT,lack
flota,FLT,fleet
faltar,FLTR,lack
filtro,FLTR,filter
flotar,FLTR,float
filtrar,FLTRR,filter
flecha,FLX,arrow
flexible,FLXVL,flexible
feliz,FLZ,happy
felicidad,FLZDD,happiness
felicitar,FLZTR,congratulate
fama,FM,fame
familia,FML,family
familiar,FMLR,relative
femenino,FMNN,feminine
fomentar,FMNTR,foster
fumar,FMR,smoke
famoso,FMS,famous
fauna,FN,fauna
fin,FN,end
fino,FN,fine
fondo,FND,bottom
fundador,FNDDR,founder
fundamental,FNDMNT,fundamental
fundamentar,FNDMNT,base
fundamento,FNDMNT,foundation
fundar,FNDR,found
fundir,FNDR,melt
fundación,FNDZN,foundation
fingir,FNJR,pretend
finca,FNK,property
final,FNL,final
finalidad,FNLDD,purpose
finalmente,FNLMNT,finally
fenómeno,FNMN,phenomenon
financiero,FNNZR,financial
fuente,FNT,source
fantasía,FNTS,fantasy
fantasma,FNTSM,ghost
fantástico,FNTSTK,fantastic
función,FNZN,function
funcionar,FNZNR,work
funcionario,FNZNR,official
feria,FR,fair
foro,FR,forum
frío,FR,cold
fuera,FR,outside
furia,FR,fury
fraude,FRD,fraud
fragmento,FRGMNT,fragment
frágil,FRJL,fragile
frecuente,FRKNT,frequent
frecuentemente,FRKNTM,frequently
frecuentar,FRKNTR,frequent
frecuencia,FRKNZ,frequency
fracaso,FRKS,failure
firma,FRM,signature
firme,FRM,firm
forma,FRM,form
formidable,FRMDVL,formidable
fármaco,FRMK,drug
formal,FRML,formal
fórmula,FRML,formula
formular,FRMLR,formulate
firmar,FRMR,sign
formar,FRMR,form
formato,FRMT,format
farmacia,FRMZ,pharmacy
formación,FRMZN,training
franja,FRNJ,stripe
franco,FRNK,frank
frenar,FRNR,brake
frente,FRNT,forehead
frontera,FRNTR,border
francés,FRNZS,French
ferrocarril,FRRKRR,railway
frase,FRS,phrase
furioso,FRS,furious
frasco,FRSK,bottle
fresco,FRSK,fresh
frustrar,FRSTRR,frustrate
frustración,FRSTRZ,frustration
frito,FRT,fried
fruta,FRT,fruit
fruto,FRT,fruit
fuerte,FRT,strong
fortaleza,FRTLZ,fortress
fortuna,FRTN,fortune
frotar,FRTR,rub
fracción,FRXN,fraction
fuerza,FRZ,force
forzar,FRZR,force
fase,FS,phase
físico,FSK,physical
fiscal,FSKL,fiscal
físicamente,FSKMNT,physically
fusil,FSL,rifle
fusión,FSN,fusion
fiesta,FST,party
festejar,FSTJR,celebrate
festival,FSTVL,festival
fascinar,FSZNR,fascinate
foto,FT,photo
fatiga,FTG,fatigue
fotografía,FTGRF,photograph
fotógrafo,FTGRF,photographer
fotográfico,FTGRFK,photographic
fatal,FTL,fatal
futuro,FTR,future
fútbol,FTVL,soccer
futbolista,FTVLST,soccerplayer
favor,FVR,favor
fibra,FVR,fiber
fiebre,FVR,fever
fábrica,FVRK,factory
fabricante,FVRKNT,manufacturer
fabricar,FVRKR,manufacture
fabricación,FVRKZN,manufacturing
febrero,FVRR,February
favorito,FVRT,favorite
favorecer,FVRZR,favor
fecha,FX,date
fachada,FXD,facade
facción,FXN,faction
ficción,FXN,fiction
falla,FY,flaw
fallo,FY,failure
fallar,FYR,fail
fallecer,FYZR,passaway
fácil,FZL,easy
facilidad,FZLDD,ease
fácilmente,FZLMNT,easily
facilitar,FZLTR,facilitate
guía,G,guide
gol,GL,goal
golfo,GLF,gulf
golpe,GLP,blow
golpear,GLPR,hit
galería,GLR,gallery
gloria,GLR,glory
globo,GLV,balloon
global,GLVL,global
galaxia,GLX,galaxy
goma,GM,rubber
guión,GN,script
ganador,GNDR,winner
ganancia,GNNZ,profit
ganar,GNR,win
guante,GNT,glove
guapo,GP,handsome
guiar,GR,guide
gordo,GRD,fat
grado,GRD,degree
guardia,GRD,guard
graduar,GRDR,graduate
guardar,GRDR,keep
gráfico,GRFK,graphic
griego,GRG,Greek
garganta,GRGNT,throat
grano,GRN,grain
grande,GRND,big
garantía,GRNT,guarantee
garantizar,GRNTZR,guarantee
grupo,GRP,group
garra,GRR,claw
guerra,GRR,war
guerrero,GRRR,warrior
guerrilla,GRRY,guerrilla
grasa,GRS,fat
gris,GRS,gray
grueso,GRS,thick
grito,GRT,scream
gritar,GRTR,shout
grave,GRV,serious
gravedad,GRVDD,gravity
grabar,GRVR,record
grabación,GRVZN,recording
gracia,GRZ,grace
gracias,GRZS,thanks
gracioso,GRZS,funny
gas,GS,gas
gasolina,GSLN,gasoline
gusano,GSN,worm
gasto,GST,expense
gusto,GST,taste
gastar,GSTR,spend
gustar,GSTR,like
gato,GT,cat
gota,GT,drop
guitarra,GTRR,guitar
gabinete,GVNT,cabinet
gobierno,GVRN,government
gobernador,GVRNDR,governor
gobernar,GVRNR,govern
gallo,GY,rooster
gallina,GYN,hen
gozar,GZR,enjoy
idea,ID,idea
ideal,IDL,ideal
ídolo,IDL,idol
ideología,IDLJ,ideology
ideológico,IDLJK,ideological
idioma,IDM,language
identidad,IDNTDD,identity
identificación,IDNTFK,identification
identificar,IDNTFK,identify
idear,IDR,devise
hidrógeno,IDRJN,hydrogen
idiota,IDT,idiot
hígado,IGD,liver
igual,IGL,equal
igualdad,IGLDD,equality
igualmente,IGLMNT,likewise
iglesia,IGLS,church
ignorancia,IGNRNZ,ignorance
ignorar,IGNRR,ignore
hija,IJ,daughter
hijo,IJ,son
hielo,IL,ice
hilo,IL,thread
ilegal,ILGL,illegal
iluminar,ILMNR,illuminate
iluminación,ILMNZN,lighting
ilustrar,ILSTRR,illustrate
ilustración,ILSTRZ,illustration
imagen,IMJN,image
imaginar,IMJNR,imagine
imaginación,IMJNZN,imagination
himno,IMN,anthem
impedir,IMPDR,prevent
impacto,IMPKT,impact
implicar,IMPLKR,imply
impulso,IMPLS,impulse
impulsar,IMPLSR,propel
imponer,IMPNR,impose
imperio,IMPR,empire
imperial,IMPRL,imperial
imprimir,IMPRMR,print
impresionante,IMPRSN,impressive
impresionar,IMPRSN,impress
impresión,IMPRSN,impression
importancia,IMPRTN,importance
importante,IMPRTN,important
importar,IMPRTR,matter
importación,IMPRTZ,import
improvisar,IMPRVS,improvise
imposible,IMPSVL,impossible
impaciencia,IMPZNZ,impatience
imitar,IMTR,imitate
indio,IND,Indian
indiferente,INDFRN,indifferent
indígena,INDJN,indigenous
indicador,INDKDR,indicator
indicar,INDKR,indicate
indicación,INDKZN,indication
independencia,INDPND,independence
independiente,INDPND,independent
industria,INDSTR,industry
industrial,INDSTR,industrial
individual,INDVDL,individual
índice,INDZ,index
inducir,INDZR,induce
influencia,INFLNZ,influence
influir,INFLR,influence
infeliz,INFLZ,unhappy
inflación,INFLZN,inflation
infinito,INFNT,infinite
infancia,INFNZ,childhood
informe,INFRM,report
informar,INFRMR,inform
información,INFRMZ,information
infierno,INFRN,hell
inferior,INFRR,inferior
infección,INFXN,infection
inglés,INGLS,English
ingrediente,INGRDN,ingredient
inaugurar,INGRR,inaugurate
ingreso,INGRS,income
ingresar,INGRSR,enter
inauguración,INGRZN,inauguration
ingenuo,INJN,naive
ingeniero,INJNR,engineer
ingeniería,INJNR,engineering
inclinar,INKLNR,tilt
inclinación,INKLNZ,inclination
incluir,INKLR,include
incluso,INKLS,even
incómodo,INKMD,uncomfortable
inconsciente,INKNSZ,unconscious
incapaz,INKPZ,unable
incrementar,INKRMN,increase
incremento,INKRMN,increase
incorporar,INKRPR,incorporate
increíble,INKRVL,incredible
inquietud,INKTD,unease
inquietar,INKTR,disturb
inolvidable,INLVDV,unforgettable
inmediato,INMDT,immediate
inmediatamente,INMDTM,immediately
inmigrante,INMGRN,immigrant
inmenso,INMNS,immense
inundar,INNDR,flood
inundación,INNDZN,flood
insuficiente,INSFZN,insufficient
inseguridad,INSGRD,insecurity
inscripción,INSKRP,registration
insecto,INSKT,insect
insulto,INSLT,insult
insultar,INSLTR,insult
insinuar,INSNR,insinuate
inesperado,INSPRD,unexpected
inspirar,INSPRR,inspire
insoportable,INSPRT,unbearable
inspiración,INSPRZ,inspiration
insertar,INSRTR,insert
insistir,INSSTR,insist
instalar,INSTLR,install
instalación,INSTLZ,installation
instante,INSTNT,instant
instinto,INSTNT,instinct
instrumento,INSTRM,instrument
instrucción,INSTRX,instruction
instituto,INSTTT,institute
institución,INSTTZ,institution
integridad,INTGRD,integrity
integral,INTGRL,integral
integrar,INTGRR,integrate
integración,INTGRZ,integration
inútil,INTL,useless
inteligencia,INTLJN,intelligence
inteligente,INTLJN,intelligent
intelectual,INTLKT,intellectual
íntimo,INTM,intimate
intimidad,INTMDD,intimacy
intenso,INTNS,intense
intensidad,INTNSD,intensity
intento,INTNT,attempt
intentar,INTNTR,try
intención,INTNZN,intention
introducción,INTRDX,introduction
introducir,INTRDZ,introduce
intercambiar,INTRKM,exchange
intercambio,INTRKM,exchange
interno,INTRN,internal
internacional,INTRNZ,international
interpretación,INTRPR,interpretation
interpretar,INTRPR,interpret
intérprete,INTRPR,interpreter
interior,INTRR,interior
interrogar,INTRRG,interrogate
interrumpir,INTRRM,interrupt
interés,INTRS,interest
interesante,INTRSN,interesting
interesar,INTRSR,interest
intervalo,INTRVL,interval
intervención,INTRVN,intervention
intervenir,INTRVN,intervene
interacción,INTRXN,interaction
intuición,INTZN,intuition
invadir,INVDR,invade
inventar,INVNTR,invent
invención,INVNZN,invention
invierno,INVRN,winter
inversión,INVRSN,investment
invertir,INVRTR,invest
invasión,INVSN,invasion
investigación,INVSTG,research
investigador,INVSTG,researcher
investigar,INVSTG,investigate
invisible,INVSVL,invisible
invitado,INVTD,guest
invitar,INVTR,invite
invitación,INVTZN,invitation
incendio,INZND,fire
inocente,INZNT,innocent
iniciar,INZR,start
incertidumbre,INZRTD,uncertainty
iniciativa,INZTV,initiative
hipótesis,IPTSS,hypothesis
ir,IR,go
ira,IR,anger
irlandés,IRLNDS,Irish
ironía,IRN,irony
irónico,IRNK,ironic
hierro,IRR,iron
irregular,IRRGLR,irregular
irritar,IRRTR,irritate
hierba,IRV,herb
isla,ISL,island
hispano,ISPN,Hispanic
historia,ISTR,history
historiador,ISTRDR,historian
histórico,ISTRK,historic
italiano,ITLN,Italian
izquierda,IZKRD,left
izquierdo,IZKRD,left
judío,JD,Jew
joder,JDR,fuck
judicial,JDZL,judicial
jefe,JF,chief
juego,JG,game
jugo,JG,juice
jugador,JGDR,player
gigante,JGNT,giant
jugar,JGR,play
geografía,JGRF,geography
geográfico,JGRFK,geographic
juguete,JGT,toy
jaula,JL,cage
julio,JL,July
gemir,JMR,moan
jamás,JMS,never
gen,JN,gene
genio,JN,genius
junio,JN,June
genial,JNL,great
género,JNR,gender
general,JNRL,general
generalizar,JNRLZR,generalize
generar,JNRR,generate
generoso,JNRS,generous
generación,JNRZN,generation
gente,JNT,people
jinete,JNT,rider
junta,JNT,board
junto,JNT,together
juntar,JNTR,join
japonés,JPNS,Japanese
jurado,JRD,jury
jardín,JRDN,garden
jornada,JRND,workday
girar,JRR,turn
jurar,JRR,swear
jerarquía,JRRK,hierarchy
jurisdicción,JRSDXN,jurisdiction
gesto,JST,gesture
justo,JST,just
justificar,JSTFKR,justify
gestión,JSTN,management
gestionar,JSTNR,manage
justicia,JSTZ,justice
jabón,JVN,soap
joven,JVN,young
juventud,JVNTD,youth
jueves,JVS,Thursday
joya,JY,jewel
juez,JZ,judge
juicio,JZ,judgment
juzgar,JZGR,judge
que,K,that
qué,K,what
cada,KD,each
caída,KD,fall
codo,KD,elbow
cuidado,KDD,care
código,KDG,code
cadena,KDN,chain
cadera,KDR,hip
cuadro,KDR,picture
cuidar,KDR,care
quedar,KDR,remain
cuadrado,KDRD,square
cuaderno,KDRN,notebook
cadáver,KDVR,corpse
café,KF,coffee
cagar,KGR,shit
caja,KJ,box
queja,KJ,complaint
cajón,KJN,drawer
coger,KJR,take
coca,KK,coca
coco,KK,coconut
cola,KL,tail
culo,KL,ass
cuál,KL,which
kilo,KL,kilo
cálido,KLD,warm
calidad,KLDD,quality
cualidad,KLDD,quality
calificar,KLFKR,grade
colega,KLG,colleague
colgar,KLGR,hang
colegio,KLJ,school
cálculo,KLKL,calculation
calcular,KLKLR,calculate
colocar,KLKR,place
cualquiera,KLKR,anyone
colectivo,KLKTV,collective
calma,KLM,calm
clima,KLM,climate
columna,KLMN,column
calmar,KLMR,calm
climático,KLMTK,climatic
kilómetro,KLMTR,kilometer
colombiano,KLMVN,Colombian
colina,KLN,hill
colonia,KLN,colony
calendario,KLNDR,calendar
clínica,KLNK,clinic
caliente,KLNT,hot
cliente,KLNT,client
calentar,KLNTR,heat
culpa,KLP,guilt
culpable,KLPVL,guilty
calor,KLR,heat
claro,KLR,clear
colar,KLR,strain
color,KLR,color
colorado,KLRD,colored
claridad,KLRDD,clarity
claramente,KLRMNT,clearly
clase,KLS,class
clasificar,KLSFKR,classify
clasificación,KLSFKZ,classification
clásico,KLSK,classic
cultura,KLTR,culture
cultural,KLTRL,cultural
cultivo,KLTV,crop
cultivar,KLTVR,cultivate
clavo,KLV,nail
clavar,KLVR,nail
colaborar,KLVRR,collaborate
colaboración,KLVRZN,collaboration
colchón,KLXN,mattress
colección,KLXN,collection
coalición,KLZN,coalition
cama,KM,bed
como,KM,like
cómo,KM,how
comedia,KMD,comedy
comida,KMD,food
cómodo,KMD,comfortable
comodidad,KMDDD,comfort
comedor,KMDR,diningroom
cómico,KMK,comic
química,KMK,chemistry
químico,KMK,chemical
camino,KMN,road
camión,KMN,truck
común,KMN,common
comunidad,KMNDD,community
comandante,KMNDNT,commander
comunicar,KMNKR,communicate
comunicación,KMNKZN,communication
comunión,KMNN,communion
caminar,KMNR,walk
comunismo,KMNSM,communism
comunista,KMNST,communist
comentar,KMNTR,comment
comienzo,KMNZ,beginning
comenzar,KMNZR,begin
campo,KMP,field
complejo,KMPLJ,complex
complicado,KMPLKD,complicated
complicar,KMPLKR,complicate
complicación,KMPLKZ,complication
complemento,KMPLMN,complement
cumpleaños,KMPLNY,birthday
cumplir,KMPLR,fulfill
completo,KMPLT,complete
completamente,KMPLTM,completely
completar,KMPLTR,complete
complacer,KMPLZR,please
campamento,KMPMNT,camp
campana,KMPN,bell
campeón,KMPN,champion
componente,KMPNNT,component
componer,KMPNR,compose
compensar,KMPNSR,compensate
compensación,KMPNSZ,compensation
campeonato,KMPNT,championship
campaña,KMPNY,campaign
compañía,KMPNY,company
compañero,KMPNYR,companion
compra,KMPR,purchase
comprador,KMPRDR,buyer
compromiso,KMPRMS,commitment
comprometer,KMPRMT,commit
comprender,KMPRND,understand
comprensión,KMPRNS,understanding
comparar,KMPRR,compare
comprar,KMPRR,buy
comportamiento,KMPRTM,behavior
compartir,KMPRTR,share
comprobar,KMPRVR,verify
comparación,KMPRZN,comparison
compás,KMPS,compass
campesino,KMPSN,peasant
compasión,KMPSN,compassion
compuesto,KMPST,compound
compositor,KMPSTR,composer
composición,KMPSZN,composition
computadora,KMPTDR,computer
competente,KMPTNT,competent
competencia,KMPTNZ,competence
compatriota,KMPTRT,compatriot
competición,KMPTZN,competition
comer,KMR,eat
cámara,KMR,camera
quemar,KMR,burn
comercio,KMRZ,commerce
comercial,KMRZL,commercial
comerciante,KMRZNT,merchant
camisa,KMS,shirt
comisión,KMSN,commission
comisaría,KMSR,police-station
camiseta,KMST,t-shirt
comité,KMT,committee
cambio,KMV,change
combinar,KMVNR,combine
combinación,KMVNZN,combination
cambiar,KMVR,change
cumbre,KMVR,summit
combustible,KMVSTV,fuel
combate,KMVT,combat
combatir,KMVTR,combat
con,KN,with
cuna,KN,cradle
quien,KN,who
quién,KN,who
conde,KND,count
cuando,KND,when
cuándo,KND,when
candidato,KNDDT,candidate
candidatura,KNDDTR,candidacy
conducta,KNDKT,conduct
conductor,KNDKTR,conductor
condenar,KNDNR,condemn
canadiense,KNDNS,Canadian
condición,KNDZN,condition
conducir,KNDZR,drive
confederación,KNFDRZ,confederation
configurar,KNFGRR,configure
conflicto,KNFLKT,conflict
confundir,KNFNDR,confuse
confianza,KNFNZ,trust
confiar,KNFR,trust
confirmar,KNFRMR,confirm
conferencia,KNFRNZ,conference
confesión,KNFSN,confession
confusión,KNFSN,confusion
confesar,KNFSR,confess
congregación,KNGRGZ,congregation
congreso,KNGRS,congress
conejo,KNJ,rabbit
congelar,KNJLR,freeze
conjunto,KNJNT,set
cuenca,KNK,basin
concluir,KNKLR,conclude
conclusión,KNKLSN,conclusion
concreto,KNKRT,concrete
conquista,KNKST,conquest
conquistar,KNKSTR,conquer
conectar,KNKTR,connect
canal,KNL,channel
conmigo,KNMG,withme
quinientos,KNNTS,fivehundred
cansado,KNSD,tired
considerar,KNSDRR,consider
considerable,KNSDRV,considerable
consideración,KNSDRZ,consideration
consigo,KNSG,withhimself
conseguir,KNSGR,get
consejo,KNSJ,advice
consejero,KNSJR,adviser
consecuencia,KNSKNZ,consequence
consolar,KNSLR,console
consulta,KNSLT,inquiry
consultar,KNSLTR,consult
consumo,KNSM,consumption
consumir,KNSMR,consume
cansar,KNSR,tire
conservador,KNSRVD,conservative
conservar,KNSRVR,preserve
conservación,KNSRVZ,preservation
consistir,KNSSTR,consist
constante,KNSTNT,constant
constar,KNSTR,consist
construcción,KNSTRX,construction
constitución,KNSTTZ,constitution
consciente,KNSZNT,conscious
canto,KNT,song
cuanto,KNT,asmuch
cuenta,KNT,account
cuento,KNT,story
cuánto,KNT,howmuch
quinto,KNT,fifth
cantidad,KNTDD,quantity
contigo,KNTG,withyou
contacto,KNTKT,contact
contactar,KNTKTR,contact
contaminación,KNTMNZ,pollution
contemplar,KNTMPL,contemplate
contemporáneo,KNTMPR,contemporary
continuo,KNTN,continuous
contenido,KNTND,content
continuidad,KNTNDD,continuity
continental,KNTNNT,continental
continente,KNTNNT,continent
contener,KNTNR,contain
continuar,KNTNR,continue
cantante,KNTNT,singer
contento,KNTNT,happy
continuación,KNTNZN,continuation
cantar,KNTR,sing
contar,KNTR,tell
contra,KNTR,against
contradicción,KNTRDX,contradiction
control,KNTRL,control
controlar,KNTRLR,control
contrario,KNTRR,contrary
contrastar,KNTRST,contrast
contraste,KNTRST,contrast
contrato,KNTRT,contract
contratar,KNTRTR,hire
contribuir,KNTRVR,contribute
contribución,KNTRVZ,contribution
contestar,KNTSTR,answer
contexto,KNTXT,context
convocar,KNVKR,convene
convenir,KNVNR,suit
convento,KNVNT,convent
convencer,KNVNZR,convince
conversar,KNVRSR,converse
conversación,KNVRSZ,conversation
convertir,KNVRTR,convert
convicción,KNVXN,conviction
cancha,KNX,field
concha,KNX,shell
conexión,KNXN,connection
caña,KNY,cane
cuñado,KNYD,brotherinlaw
cañón,KNYN,canyon
quince,KNZ,fifteen
conocido,KNZD,acquaintance
coincidir,KNZDR,coincide
conceder,KNZDR,grant
cancelar,KNZLR,cancel
conocimiento,KNZMNT,knowledge
canción,KNZN,song
concentración,KNZNTR,concentration
concentrar,KNZNTR,concentrate
conciencia,KNZNZ,conscience
concepto,KNZPT,concept
concepción,KNZPZN,conception
conocer,KNZR,know
cáncer,KNZR,cancer
concierto,KNZRT,concert
capa,KP,layer
copa,KP,cup
copia,KP,copy
cúpula,KPL,dome
copiar,KPR,copy
capricho,KPRX,whim
cooperación,KPRZN,cooperation
capital,KPTL,capital
capítulo,KPTL,chapter
capitalismo,KPTLSM,capitalism
capitalista,KPTLST,capitalist
capitán,KPTN,captain
captar,KPTR,capture
capturar,KPTRR,capture
capilla,KPY,chapel
capaz,KPZ,capable
capacidad,KPZDD,capacity
caer,KR,fall
cara,KR,face
caro,KR,expensive
coro,KR,choir
cuero,KR,leather
cura,KR,priest
crudo,KRD,raw
cuerda,KRD,rope
caridad,KRDD,charity
cardenal,KRDNL,cardinal
coordinar,KRDNR,coordinate
coordinación,KRDNZN,coordination
crédito,KRDT,credit
credibilidad,KRDVLD,credibility
cordillera,KRDYR,mountainrange
carga,KRG,load
cargo,KRG,charge
cargar,KRGR,load
coraje,KRJ,courage
crujir,KRJR,creak
caracol,KRKL,snail
carácter,KRKTR,character
característica,KRKTRS,characteristic
caracterizar,KRKTRZ,characterize
cruel,KRL,cruel
crema,KRM,cream
crimen,KRMN,crime
criminal,KRMNL,criminal
carne,KRN,meat
corona,KRN,crown
cráneo,KRN,skull
cuerno,KRN,horn
crónica,KRNK,chronicle
coronel,KRNL,colonel
coronar,KRNR,crown
